subject,description,searched,problem
Edit method -- Breakable Toy,Do not know how to pass prompt from one view to another to update,update method ruby,Update method is not getting accessed/params are not being passed
Issue Tracker - Form Associations ,There is a quick challenger where we're tasked write more tests and validations that make sure that an Issue always belongs to an associated Category. ,Rails Guide,I can't think of another association for a test. I am tempted to use belongs_to has_one but the two model don't have a one-to-one relationship (my assumption). My pair buddy is curious as well after initially forgoing the challenge. 
controllers and parameters,"Quick Challenge: can you create a new Event via the Rails console, passing values in the url, the way you did with excited?

Were you able to create a new record?

No, I can't do it =(",Googled how to pass params to create record in rails console,"Things tried:
app.post('/events?location=Waltham')
app.post('/events?event=location=Waltham')
app.post('/events?event={location=Waltham}')

Stack overflow had me try this: app.new_event_path(""location"" => 'Waltham') but that didn't save. =("
breakable toy,Not sure which order I should make my models in.. ,n/a,Nothing yet. 
parking kata dan live coded yesterday," Failure/Error: visit '/'
     ActionView::MissingTemplate:
       Missing template parking_registrations/new, application/new with {:locale=>[:en], :formats=>[:html], :handlers=>[:erb, :builder, :raw, :ruby, :jbuilder, :coffee]}. Searched in:
         * ""/Users/lindsaynauman/Dropbox/launchacademy/Charlie/parking/app/views""
     # ./spec/features/user_registers_parking_spot_spec.rb:15:in `block (2 levels) in <top (required)>'


getting this error message, but the file exisits","Carl, rubyonrails.org",Maybe I have a file in the wrong place? No clue!
Controller abilities,I'm confused about the controller in general,Rails getting started,?
Controllers and Parameters assignment,"In assignment 339 where it says ""look at the index method"" and ""look at the show method"" my methods are different (or empty). But they work. ",Vague googling,Some kind of rails magic? Just the assignment doesn't really correspond to the stuff generated by the scaffold.
working with forms in the Library app,"In the Library app Apollo assignment, I've added field with isbn number and library branch as the assignment specifies, but the app doesn't seem to be storing the data in the model. The only data it stores is the title. ","reviewed the assignment to make sure I didn't miss anything, looked throughout the Rails app","I think that when I first created the scaffold, the title was the only column I initially specified. When I later added fields for the isbn number and the library branch, I think I needed to add something else in the app to make sure that data entered in these fields are stored somewhere, but I'm not sure where that might be. "
.ruby-gemset and .ruby-version file,What do these files do and why do I have to bundle after creating them?,Video and rvm.io,I believe this indicates what version gem to use based on the Ruby version that is being used but I'm not entirely sure....
Intro to Partials ,"Quick Challenge:

Delete the contents of the _sidebar.html.erb file
Use capybara to drive the development of this feature",Capybara Readme,I have no clue where to the place the actual test. I thought it belonged within the features directory but now I'm beginning to think it belongs within view/event/index.html.erb_spec.rb
Breakable Toy -- Background Jobs Processing,"- Choose a gem (sidekiq, resque, etc.)
- How to use these when sending out prompts","background processing rails, sidekiq, resque",n/a
Group Project: show.html.erb ,Trying to add logic that allows non-users to see all the reviews but only displays the review forms for users that have not submitted a review. ,"google, stackoverflow, codeacademy ",logic is incorrect
I still have no idea what I'm doing...trying to show all inqueries in the form assignment from Apollo,"I created a index.html.erb page and I don't think thats what I was supposed to do next, but I have no idea what to do next..no clue what the error is telling me ",apollo assignments,"I can't find an example of where we did this before, and I don't really know what I'm doing so I can't figure out what to search"
I want to send an id from a form,"The object has_one spot and I want to pass the spot object from the form, but I can't access the spot id","use object in string form rails, rails form returning string, rails form returns object","I'm getting (depending on what I return) a string of an object or it's id, but not the object or id itself"
pry,"When I run "" rake db:create db:migrate db:test:prepare "" I'm receiving the message ""Could not find pry-rails-0.3.2 in any of the sources"". I ran ' gem install pry "" and I'm still getting the same error. ",pry github repo documentation,not sure...
Ember as shown on RailsCasts,on railscasts he is only setting one route when extracting code into a 2nd controller and that seems to work for him. For me that route overrides the first one.,"Railscats, Metacasts, Dockyard etc. ",I don't understand why it doesn't work for me and how it all fits with routes.rb
Broken Test Suite,The schema provided is a bit confusing. ,Good ole fashion thinking power,Not sure.
Can't get parking test to pass,"NoMethodError:
       undefined method `when' for #<RSpec::Matchers::BuiltIn::Has:0x007ffc0186b1e0>

I thought when was already defined",http://stackoverflow.com/questions/16180311/rails-nomethoderror-undefined-method,Not too sure
Designing a Blog Data Model,"Having an issue adding the ""Comment"" data model",Stackoverflow,Probably incorrect spec.rb syntax.
Pluralizin',How can I haz pluralize?,"SA, googz, the usual",It ain't working.
Bug with Apollo,"When I click on older the lessons and stuff, I get the ""We're sorry, but something went wrong.""

I just want access to the install guides",ERIC!,No data in the w/ lession :id
CSS issue,My CSS ain't loading and I'm not sure why.,"Google, my source file",It isn't recognizing my CSS.
Devise,"I'm watching the Railscast for the devise gem, and there's something in the video that I don't understand: attr_accessible :email, :password, :password_confirmation.

He's saying that the user will be able to manage these- I'm all kinds of curious as to how that works, and how I can use that in my own code.",Google,"No problems, just questions."
Not really a help request but just reporting that assignment 355 seems to be incomplete,"The last paragraph of http://apollo.launchacademy.co/assignments/355 reads like this:


JQuery is the current, dominant library allowing deep manipulation of the DOM through a well-thought-through API. With the additions of event binding and AJAX interactions (in a future",N/A,N/A
Controller Method,"I'm not sure what the ""set_book"" method in my controller is doing. I added pry to the create method to investigate but I don't seem to have access to this method even though I thought I would. Help!",Pry,I want to see what value set_book is returning
Events...maybe,pause looop until event,^^^^,im stupid
Validation Messages,Model validation messages aren't showing up with simple form for nested attributes,Simple form documentation,Nested attributes suck
greeting kata,cant get the loop to work,code academy,variable placement is probably wrong
.html_safe,Why would I be concerned about applying a safety feature to a drop down box that doesn't accept input? Shouldn't I be protecting my text_fields? And how can I do that?,Rails C &  fellow launcher,Security concern
Restaurant first branch,Problems with the expect(page).to have_content x,"Google, previous assignments",its expecting the page to have content but the specific pages are not displaying. Not putting the correct commands
"""remember me"" checkbox missing",I'm using Devise but the remember me checkbox is missing.,Googled,I think that Flat-UI is breaking something...
Want picture over entire background,I want to make a picture the entire background of my index page,http://stackoverflow.com/questions/4085287/how-to-make-the-background-image-to-fit-into-the-whole-page-without-repeating-us,No clue
Creating a new dispatch time attribute through a different controller -- breakable toy,Want to create a new instance of dispatch time through my SMS controller,N/A,Need to reference dispatch controller somehow
Using Devise with models already set up,How do I use devise when my models already exist?,add devise to existing model,"I don't know how to fix the conflicts (User model already has an email field, etc...)"
Testing Simple Form Validation Messages,I can't seem to run a test that passes for validation messages with simple form. ,"Apollo assignment, Simple form",I am grabbing the wrong ID in the markup?
Javascript greet kata,The submission dealie wants a repo but it asks for a gist,na,"Fix it before someone else notices!

http://apollo.launchacademy.co/assignments/354"
Event Tracker,"Failure/Error: expect(page).to have_content ""Location cant' be blank""",checking code for typos,"page is supposed to have ""Location can't be blank"" and it does."
Is this where I tell you guys about a pull request?,"https://github.com/dmehrotra/PinPoint/pull/1

Sorry the pull request description is super unspecific.  I seeded a resources table. And messed with Events controller to be able to create and view all events....on a map
",soul searching,what do YOU think is happening 
Basic Forms ,Quick Challenge: Make changes to your database to reflect the existence of the new select.,Apollo Assignments ,"I assume that I need to create migration to reflect the existent of the new select, however, what is the new select. It has a name attribute with a value of library branch string. Am I suppose to add library branch as a column within my books table via migration?"
Nested resources assignment: 348,Html is being displayed instead of a table.,n/a,markup is not being rendered
Seeding Database,I am having issues understanding all the aspects of doing it,Rails Guide,Lack of understanding
How join table models get instantiated,"When I assign an attribute through a join table, the join table gets created with nil values","assign attribute through join table rails, model gets instantiated has through rails",An object gets created when I set a relationship variable
Finding user time zone of a prompt,I need to get the time zone of user in relation to a prompt,N/A,"Might need to add time zone to prompt?
"
routing maybe?,"I get ""Failure/Error: click_button 'Create Parking registration'
     ActionView::MissingTemplate:
       Missing partial parking_registrations/parking_registration with {:locale=>[:en], :formats=>[:html], :handlers=>[:erb, :builder, :raw, :ruby, :jbuilder, :coffee]}. Searched in:""

as an error. I don't know why",google,I think the routing is messed up
Broken Test Suite - Stuck,I am a bit stuck on the broken tests for the seeder files. No idea what is going on in these files. ,Deep thoughts,I think we have never seen files like this. 
I initialize two models in my new and when I render new it breaks,My parking lot model doesn't get created so it can't render the page,initialize model rails render new,My parking lot model doesn't get created so it can't render the page
Breakable toy: associations,"I don't understand how foreign keys are actually written to the database. I have the associations in the models, but where do I go from there?",the usual,I need guidance.
sessionz,Not sure if i need to create a new sessions controller for the parking IV. Not really sure about any of it at all.,Hartl tutorial,Description
Blog data model,Failure/Error Could not find the inverse association for blog (:categories in Blog),apidock.com,"I have the inverse setup, so not sure what's happening. Gist - https://gist.github.com/mark-hay/e4b4fecd81ea67c02df1"
Sessions,"<ActionDispatch::Request::Session:0x7f83cf232170 not yet loaded> What? Why not? I'm trying set and access the session variable in the controller, and this is the error I get when trying to print the session.",Rails session not yet loaded,The session variable is not yet loaded.
form associations (for Adam),I'm struggling to understand the way that associations impact forms and how when you create an association how your tests should work.,"Google, StackOverflow","I think that when I created a new model and created associations between the two models, my tests had to be updated, but I'm not sure how to do that."
I initialize two models in my new and when I render new it breaks,My parking lot model doesn't get created so it can't render the page,initialize model rails render new,My parking lot model doesn't get created so it can't render the page
Fix the build -- most active method,"I want to get all of the questions, order them by votes count, and return the first",active record order by,Some issue with the ordering the list
Help with would_you_rather,My option and question table is empty.,Previous assignments,Factory girl isnt working correctly.
Populating a Join Table,I have a join table where I want to associate event_id's with resource_ids.  I'm struggling with the best way to implement this. ,google,not sure where to begin?
broken test suite,traits in factories,looked @ thoughtbot doc on factory girl,not sure how the nesting each blocks are working in factories.rb
Breakable Toy -- Issues with heroku,"- Unable to reset database
- When I navigate away from the landing page the error ""PG::UndefinedTable: ERROR:  relation ""users"" does not exist..."" is displayed in my heroku logs",relation does not exist heroku,Issue with relation -- could reset database?
Twitter BootStrap Simple Form Issues,I am having an issue styling my sign up form with Twitter BootStrap and Simple form. Using Simple form and installed it with the Twitter BootStrap support. ,"Stack Overflow, Simple Form Documentation ",Hard to say.
breakable toy,in spec model not sure how to write a test to check if something have_valid(:categories) because categorites is a dropdown list... also want to know if I'm following the error I got correctly.,other apollo assignemtns,I'm confused about something probably
Explanation of difference between syntax in acceptance tests.,"Don't understand why we use something like:

describe post do 

vs 

feature ""user registers spot""",https://github.com/jnicklas/capybara,Need further explanation.
Devise,"I added Devise to my breakable toy, it authenticates the user, but how do I authorize the user to do something?",the usual,Authorization with devise
routes,Setting Devise sign in as root page.,"devise sign in as root path, devise controller actions",Cannot set devise/sessions#create
Setting up devise,"error message:

/usr/local/rvm/gems/ruby-2.0.0-p247/gems/railties-4.0.0/lib/rails/application/routes_reloader.rb:10:in `rescue in execute_if_updated'",searching now,something wrong with the routes.
Command Line,The up key no longer goes back to my previous command.  ,GoogleFu && Stack ,I closed my terminal and opened a new one. I don't know what I did to my CLI to screw this  up. 
Breakable Toy -- Deploying to heroku,"- I get  'Error detecting the assets:precompile task' when I push my application to heroku.
- Twitter bootstrap is broken
- Unable to access pages beyond static homepage", Error detecting the assets:precompile task,"Issue with database.yml? 
Issue in asset pipeline?
Issue with installed gems?"
Middleman blog Fixing - For Eric,"So, I am taking the first 250 characters of my blog post as a teaser. However, I have a title on my blog post page, and the blog article list, so the title repeats twice. ","Middleman Docs, Middleman Blog Docs",You got me. 
ERD,Eric halp,google,Need my ERD checked out.
breakable toy,"I want to create my models for my breakable toy, but what if my app is mostly user-photo-upload based? Does that make a difference in how I set things up? ","Instagram source code (in python, not as helpful)",I'm not sure how to set up my models since they're so upload-centered.
calling  instances of other classes in rails,how do you pass in instances to other classes,partner,not certain if this is the best way
Devise and migrations no funcionan,"Ayudame: Si puede entendar, necesito ayuda. La joya que se llama ""devise"", no lo quiero funcionar con mis migraciónes.",El Google,Las migraciónes no funcionan. Boo.
Inventory System Kata ,"I deleted some files from my rails app that provided no business value. When I ran git add . after passing some tests I received this message. 

warning: You ran 'git add' with neither '-A (--all)' or '--ignore-removal',
whose behaviour will change in Git 2.0 with respect to paths you removed.
Paths like 'app/assets/javascripts/inventories.js.coffee' that are
removed from your working tree are ignored with this version of Git.

* 'git add --ignore-removal <pathspec>', which is the current default,
  ignores paths you removed from your working tree.

* 'git add --all <pathspec>' will let you also record the removals.

Run 'git status' to check the paths you removed from your working tree.",Google ,I think I need to run git add --all but what is my pathspec? Is it the name of my working directory. 
I am getting unexpected errors in the Simple Form assignment,"Failure/Error: within "".input.menu_item_#{attribute.to_s}"" do

Capybara::ElementNotFound:
       Unable to find css "".input.menu_item_name""
",I looked at a few StackOverflow suggestions but did not find the solution.,installing the Simple Form gem broke stuff
Altering 'destroy' ,"Rather than actually delete a record, I want to send a message to the user that states ""this cannot be deleted'. ",Apollo ,"I don't fully understand how to manipulate the ""destroy"" method. "
breakable toy bootstrap / tests,"Bootstrap: remember me checkbox is being weird after I added flat-ui, and i can't for the life of me find how to change the height of the navbar.
Tests: I have a test to allow a user to make an edit and it always fails and I can't figure out why",so much google/stack overflow/etc.,"I'm probably missing something with flat-ui, for the navbar...I'm sure I'm not tweaking the right class, and for the tests...I'm all outta ideas..."
Javascript Kata,"I feel like a missed a beginner session or Apollo assignment that walks through how to complete a javascript kata. I'm not sure what my environment should look like or if I should be using a template. 
",Apollo and live-code videos,I don't know how to get started...
Datapicker Plugin -- breakable toy,"Getting ""uninitialized constant ActionView::CompiledTemplates::Anjlab"" error",actionview::compiletemplates error,Something is missing in the asset pipline?
breakable toy - how to create form elements using has_many through models,"Trying to figure out how to create a form that has access to multiple models - how do I accomplish this??

",http://createdbypete.com/articles/working-with-nested-forms-and-a-many-to-many-association-in-rails-4/,I'm not sure what the best/correct way of doing this is.
JQuery,"Doin the kata from today, trying to add the class but it aint working.",jquery docs/SA,I'm not adding the class selector the right way. 
Polymorphic Voting table,"I have no idea what I'm doing, neither does my partner",polymorphic votes railscast,I'm dumb.
Casper.js,"I need help understanding how exactly to use this.  Is it server side javascript?  ( this question is mostly @jason, because he got me into this jackpot...but any help is appreciated )","The Docs, The Google",Conceptualizing how exactly to use it.  
Quick AJAX problem,im trying to send an ajax post to a controller action.  and Im getting a server error.  I looked online and im not sure what the exact problem is. ,the google the stackoverflow,not sending the right data? not sending the wrong data the right way? sending the right data the wrong way? Sending no data nowhere?  Sending nothing to the right place? sending nothing to the wrong place. 
button submitting value to controller,Have 2 buttons. the button you hit determines the value of a new records vote_count value.,button submits value to create,my brain no good
Who wants to guide me through super nested forms with fun javascript? (Jason???),My breakable toy has a Quiz form with Questions and Answers nested inside. I need help with adding more Questions and Answers using JavaScript and jQuery.,anything i can on railscast and stackoverflow,Inexperience
css,Putting a custom checkbox on lighting kata,asd,"I have the checkbox appearing, but I don't know how the current css is working and how to edit the sizes of boxes"
Restaurant second branch,"COnfused about a few tests: 

1) a user edits a menu item edits a menu item
     Failure/Error: visit edit_menu_item_path(menu_item)
     ActionView::MissingTemplate:
       Missing template menu_items/edit, application/edit with {:locale=>[:en], :formats=>[:html], :handlers=>[:erb, :builder, :raw, :ruby, :jbuilder, :coffee]}. Searched in:
         * ""/Users/oismail91/Dropbox/launchacademy/charlie/rails_stack/restaurant/app/views""
     # ./spec/features/user_edits_menu_item_spec.rb:16:in `block (2 levels) in <top (required)>'

  2) a user destroys a menu item destroys a menu item
     Failure/Error: click_on ""Destroy #{menu_item.name}""
     Capybara::ElementNotFound:
       Unable to find link or button ""Destroy Gusteau's""
     # ./spec/features/user_destroys_menu_item_spec.rb:13:in `block (2 levels) in <top (required)>'

  3) a user adds a new menu item with_valid_attributes creates a new menu item
     Failure/Error: expect(page).to have_content category
       expected to find text ""Seafood"" in ""Menu item created successfully! Menu item created successfully! pizza Name: pizza Description: a delicious cheesy surprise Price: $10.01 Category: $""
     # ./spec/features/user_adds_menu_item_spec.rb:29:in `block (3 levels) in <top (required)>'","Google, apollo assignments",Not sure
My command line is broken.,None of my commands can be found,Google,I edited my path in .zshrc and now life is difficult.
"Breakable Toy, controllers and routes","So for my breakable toy I have the following relationships setup. A user has_many nonprofits, nonprofit belongs_to user, nonprofit has_many opportunities, opportunity belongs_to nonprofit. 

Right now, a user can create a nonprofit and it is assigned to them (the relationship is working). I am working on the opportunity controller now but I am not sure how I should create the relationship. 

Basically, in my application the goal is to have a user be able to make as many nonprofits as they want. When they visit a nonprofit page they have the option to create an opportunity. Here lies the problem, how do I A.) make sure that only the user who owns the nonprofit has the ability to edit the nonprofit, and/or create the opportunity. Also, how should I create the relationship between that nonprofit they are currently looking at with the opportunity. ","Rails Routes, Controllers documentation","I think I probably A.) need to have nested routes for user and nonprofit, and also for nonprotit and opportunities. 

B.) I need to do some validation on the views to show certain buttons in certain cases. 

C.) Need to create the correct corresponding relation in the opportunity controller. "
javascript function calls,Trying to call my a function to check somethin but its not answering. Just like all of my ex girlfriends. ,SA/Google,Probably an issue of scope.
Iterate over an array of hashes and total only matching keys,"Iterate over an array of hashes and total ONLY matching keys ""last_name"" ","Google, stackoverflow",?
parking tracker,"Not sure how to make my test pass.

expected: [#<Registration id: 24, first_name: ""Joe"", last_name: ""Hello"", email: ""joe21@email.com"", parking_spot_number: 5, parked_on: ""2013-09-19"", created_at: ""2013-09-19 14:59:43"", updated_at: ""2013-09-19 14:59:43"">, #<Registration id: 23, first_name: ""Joe"", last_name: ""Hello"", email: ""joe20@email.com"", parking_spot_number: 7, parked_on: ""2013-09-19"", created_at: ""2013-09-19 14:59:43"", updated_at: ""2013-09-19 14:59:43"">]


got: #<ActiveRecord::Relation [#<Registration id: 24, first_name: ""Joe"", last_name: ""Hello"", email: ""joe21@email.com"", parking_spot_number: 5, parked_on: ""2013-09-19"", created_at: ""2013-09-19 14:59:43"", updated_at: ""2013-09-19 14:59:43"">, #<Registration id: 23, first_name: ""Joe"", last_name: ""Hello"", email: ""joe20@email.com"", parking_spot_number: 7, parked_on: ""2013-09-19"", created_at: ""2013-09-19 14:59:43"", updated_at: ""2013-09-19 14:59:43"">]>

I am also having trouble with writing tests for yesterday/today's katas (also, the right way to pull yesterday's spot number).",n/a,The object being returned is an ActiveRecord::Relation whereas the test is looking for an array - the test works if I add .all to the neighbors method in the registration.rb model but I keep being told that Relation#all is deprecated and is unnecessary. 
Writing tests,My breakable toy doesn't have admin users. How do I test the creation of objects that they interact only indirectly with using has_many through relationships? ,talked to Richard,"I have a unit test for attributes, I don't think that is enough, but there are no direct users for a feature test."
parking tracker,"running tests and get error:
undefined method `validates_format_of'",http://stackoverflow.com/questions/845894/passing-a-method-to-validates-format-of,Not sure.
capybara fill_in failure,test for fill_in fails (capybara element not found) even though the field is present,google,dunno
Controllers and Parameters,I'm not quite sure where to begin. There is a disconnect between the Apollo Lesson and my EvenTracker rails app after the app's database was reset. ,Hardtl ,When I create then destroy objects within the database. The id doesn't reset but continues in a linear fashion. Also my controller methods within my app do not resemble the expectations within the Apollo assignment. I understand the gist of the lesson but I feel that I'm doing myself a diservice without fully completing the lesson.
"Writing feature, model tests for parking part 5",Not sure how to alter dates that capybara is testing ,"google, stackoverflow","Don't know how to alter time, session ids in the test"
Fix the Build,"I have a content issue. The 3 errors are expecting contents to show.

Having trouble with displaying certain content","Previous assignments, google",probably syntax problem with ruby and html. 
Group Project,Having trouble with getting a select on a joint table with simple form,Stackoverflow,syntax error. Undefinde method.
We have two branches that github says are identical but they're not,We want to get the working branch up on github so that we can share it but something is just not working out,having a hard time coming up with good search terms,we are really lost here.
Gem::RemoteFetcher::FetchError: SSL_connect returned=1 errno=0 state=SSLv3 read server certificate B: certificate verify failed (https://s3.amazonaws.,Got the above error during bundle,google,something wrong with certs/ssl
ember,Nested each loop for hasMany,"render, control, each",I'm not sure how to access the associated property
non-pressing questions,"what is the difference between a stub and a mock?

how is a hash implemented under the hood?  how does that implementation differ from the implementation of an array?
","google, stackoverflow",I'm just curious
seeding associations & testing that,"Using would_you_rather example for my breakable toy:

I have 2 seeders and corresponding tests for them: 
1- for ToDo
2- for HealthPlan

A health plan has many to-dos and a to-do belongs to a health plan. How do I seed them at the same time so that a to-do gets the right health_plan_id?","compared to would_you_rather, but that was not really what I have",How do I seed them at the same time so that a to-do gets the right health_plan_id?
2nd blog post wont deplot,"tip behind the master branch 
",tip behind the master branch `,Made a commit at the wrong time.
using devise for my user model,"1. i created a migration with a user table...but now i want to add devise. am i going to break something if i migrate now? or would i need to drop the original user table?

2. how do i add a username to devise? also allow for logging in with email or username? i've tried to follow this page but i'm still lost: https://github.com/plataformatec/devise/wiki/How-To:-Allow-users-to-sign-in-using-their-username-or-email-address",devise github pages,don't know how to use devise
Restaurant third branch ,"Have this error: 

a user comments on a menu item when given valid attributes creates a comment
     Failure/Error: fill_in ""Comment"", with: 'Great tasting yummy meal'
     Capybara::ElementNotFound:
       Unable to find field ""Comment""
     # ./spec/features/user_comments_on_a_menu_item_spec.rb:15:in `block (3 levels) in <top (required)>'","Stackoverflow, previous assignments",Not sure if my database is correct. Need clarity on the show method of the controller. 
Simple Ruby code exercise,"This program is supposed to ask the user for his/her first, middle and last name. Then greet them with their full name and tell them how many letters are in their full name. 
puts 'Hello there, tell me, what is you\'r first name?'
name_f = gets.chomp
puts 'Nice to meet you ' + name_f + ', so what is you\'r middle name?'
name_m = gets.chomp
puts 'OK, what is you\'r last name?'
name_l = gets.chomp
name_total = name_f.length.to_i+name_m.length.to_i+name_l.length.to_i
puts 'It is wonderful to make your acquaintance '+name_f+' '+name_m+' '+name_l'!'
puts 'Did you know that there are ' + name_total.to_s + ' letters in your full name?'
puts ' '",Learn to Program,"It was working fine with first and last names. But today I added a middle name and broke it. I think I am getting a syntax error on line 8? Here is the full error, unfortunately I don't really understand it.
name.rb:8: syntax error, unexpected tSTRING_BEG, expecting kDO or '{' or '('
...+name_f+' '+name_m+' '+name_l'!'
"
bucket list part 2,validating email and getting undefined method,Stackoverflow,"Not sure. But this is the message: 

Failure/Error: it {should_ have_valid(:email).when(nil, '', '12345')}"
parking tracker - getting yesterday's information,I have no idea how to grab yesterday's data from session - am I thinking about this the wrong way?,Googled information about sessions in rails,no clue
Ruby Koans,"Please meditate on the following code:
  about_nil.rb:5:in `test_nil_is_an_object'",Google,I'm not sure what the error is and I am afraid to Google because it will spoil the purpose of the exercise. 
How to write simple_forms statement,"<%= f.label :is_reproducible %><br>
<%= f.check_box :is_reproducible %>


I am not sure how to rewrite the statements above in simple forms syntax.
",I looked at https://github.com/plataformatec/simple_form,"<%= f.label :is_reproducible %><br> <%= f.check_box :is_reproducible %>   
gives me this error:

Failure/Error: check 'Is reproducible'
     Capybara::ElementNotFound:
       Unable to find checkbox ""Is reproducible"""
Parking Tracker - Phase I,"`check_options_validity': The provided regular expression is using multiline anchors (^ or $), which may present a security risk. Did you mean to use \A and \z, or forgot to add the :multiline => true option? (ArgumentError)","Stack, Rubular",I'm not sure my regex is /^.+@.+$/. I don't understand why this is a security concern for rails. Sorry for the many many help requests today. 
breakable toy - bootstrap / css stuff (ERICONLY),"Bootstrap: (1) remember me checkbox is being weird after I added flat-ui
(2) i can't for the life of me find how to change the height of the navbar",so much google/stack overflow/etc.,"I'm probably missing something with flat-ui, for the navbar...I'm sure I'm not tweaking the right class"
content,need help understanding the methods in the html under ruby ,google,lack of understanding
devise username,"I'm using devise for user sign up/sign in/sign out, and it's not recognizing that ""username"" is in there, so all of my tests are failing...  I've tried a migration, raking, github, and I think I need another set of eyes to make sure I'm not missing something obvious.","Google, github","username is not recognized as existing, and i've coded something strange"
Testing with Devise: current_user,"I have an acceptance test that logs in the user and goes to  page that should display to_dos that have the user_id == current_user.id

It passes up to the point where there should be the to_dos but there is nothing as @current_user == nil",google,The controller and view actually does display it correctly as I set it up in development to double check. The problem is with my test. How could I solve it?
Saving a vote,"calling vote.save, data is not persisting",data is not persisting polymorphic table,rails is not saving the record
adding an association to devise user,I want to give user a new pantry upon registration,devise user saved with has_one,I don't know which devise controller to work with
"Bundle error message (working remotely, please use flow dock)",Anytime I'm working with a cloned repo I receive bundle error issues. Why is that? The .ruby-version file is 2.0 (same as my installed version of ruby). I'm working from home. The error message I'm receiving is in flow dock. I just posted it there about 10 minutes ago hoping someone could help. ,stack overflow and github ,error while installing rake
Fix The Build ,"I'm trying to solve the unit tests and have two failures remaining. 

https://gist.github.com/TechnoAlchemist/b69622f9826d461b282f",Asked MikeM,"Within my question model I need to refactor the most_popular_option method. I need to access the options, determine which has the most votes and return the option with the most votes. "
RVM ,"  * WARNING: /bin/zsh version 4.3.11 detected - Zsh 4.3.12 / 5.0.0+ is recommended,
    with current one errors to be expected - bugs in shell code interpretation.",GitHub,I ran which -a zsh then entered  echo $ZSH_VERSION which revealed 4.3.11. Finally I entered 	make zsh version check original PATH. I received make: *** No rule to make target `zsh'.  Stop. The documentation on zsh is utter confusion to me. I understand that I can't execute this command to update zsh so I'm stuck on updating zsh. 
basic flash (assignment 350),"I'm confused. For the quick challenge (Modify your acceptance test to navigate to another controller action after visiting the page. Add capybara logic that asserts the flash goes away.) - the flash notice is supposed to persist, right? So our capybara test is supposed to fail until we change the code to be flash.now[:notice] = ""wowza""
right?",n/a,n/a
parking tracker - timezonez and testing for the order of items on a page,"1. How do I get my parking tracker to display stuff in a local timezone vs. UTC?
2. For my feature test, I'm trying to figure out how to test the order of text on the page. I'm not sure it's entirely necessary because I've already tested the order of the history in my model...but figured I should know how to do it??","OMG, the works: Google, Stack Overflow, Dash, GitHub, RoR api docs...",Not sufficient smarts.argh.
Teaching Assignment,"My classes are ""spaghetti code""",A bunch of mismatched code,I made a mess and should probably start over.
Fix the build,We're stuck on the final failing test: identifying the most_active question based on votes. We've attempted several ways of retrieving this information from the database but none of them have worked so far.,"StackOverflow, Active Record guides, other students","We think that we need to write a single/a few Active Record queries in order to search for this information, but we're confused on how to write these queries based on how the models are set up and what the associations are. We're not sum how to sum the votes for two options that belong to a single question in order to figure out what the most active question is. "
Integrating devise,"Failure/Error: fill_in 'Password Confirmation', with: user.password_confirmation",The code for the error,My lack of programming skill.
Odd Error,"Was wondering what this means?

""The single-table inheritance mechanism failed to locate the subclass: 'Improvement'. This error is raised because the column 'type' is reserved for storing the class in case of inheritance. Please rename this column if you didn't intend it to be used for storing the inheritance class or overwrite Issue.inheritance_column to use another column for that information.""",Stack Overflow,Not sure. 
the destroy method,My destroy button is not working,scaffolds,dunno
Associations again,"Tried to remake the WouldYouRather app, kind of stuck",google,associations
Problem with routes in Breakable toy,Cant get my spec helper to go to the page I want,apooloo and hartl tutorial,cant link my spec page to my routwes
Time Zones -- Breakable Toy,I believe I have accounted for time zones in my application. ,n/a,I would like a second opinion on the matter.
factoryGirl create vs build,working through parking kata videos and I can't figure out what the difference between create and build,stack overflow,The create() method persists the instance of the model while the the build() method keeps it only on memory. That's what stackoverflow says but I don't get it
routing to a custom url,it goes to show instead of history,"routes, link_to, named routes, etc.",I  think it's going to the wrong url
Validations and testing validations,"On my join tables do I need to test my validations beyond saying should belong_to? To start with I had validates_presence_of user_id on one of my join tables but I've changed it to validates_presence_of user and now my tests don't pass even though it actually works the way I want now.

Also, is there a good way to validate whether a date is in a range?",Found a lot of stuff that almost answered my question,I want to test stuff and validate stuff but I don't know how.
edit. what what?,can't figure out why our edit form is not werking,googlinggsss,"brain.
mush."
Factory Girl - parking phase 2,"Followed Dan and created factory but still getting error:

      Failure/Error: registration = FactoryGirl.build(:parking_registraton, parked_on: nil)",the code for errors,"factories.rb gist - https://gist.github.com/mark-hay/3db3dadd0f1eb4afbb14
parking_registration_spec.rb gist - https://gist.github.com/mark-hay/bde69ff5062f286269cf


Failure/Error: registration = FactoryGirl.build(:parking_registraton, parked_on: nil)
     ArgumentError:
       Factory not registered: parking_registraton"
.try,"I can use it fine, I just don't quite understand it","try, .try","It's working fine, I just have a couple questions about it"
final part of parking phase 2,undefined local variable or method `parking_registration,the code,not sure.
quick question about try,"I got it to work, just don't quite understand it.",try,"It works, just want some carification."
Difficulty getting multiple sign-up to work with Devise - Eric,"I have the two sign up pages up, but the redirect seems odd which I think is messing up the information being committed to the database. ",Devise Docs,I am not positive. 
Comments,How?,Alll,Everything
Comments,How?,Alll,Everything
Sessions with Capybara,Capybara doesn't keep track of what happens in a session. How am I suppose to do session level testing?,Tried rack_session_access and selenium-webdriver. Both fail.,Capybara should keep track of sessions
